date,serial_number,model,capacity_bytes,failure,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw,days_to_failure
2024-03-02,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,24355,0,1,34,0,0,-1
2024-03-03,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,5495,1,0,38,0,1,-1
2024-03-04,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,14121,0,0,31,2,1,-1
2024-03-05,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,18532,0,1,30,2,1,-1
2024-03-06,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,21238,1,1,30,0,1,-1
2024-03-07,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,23075,1,0,36,0,0,-1
2024-03-08,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,26567,0,0,28,1,0,-1
2024-03-09,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,18019,0,1,34,0,1,-1
2024-03-10,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,29251,0,1,34,2,2,-1
2024-03-11,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,20222,0,1,39,0,1,-1
2024-03-12,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,17896,1,0,39,0,1,-1
2024-03-13,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,13775,1,1,37,1,0,-1
2024-03-14,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,10662,0,1,29,0,2,-1
2024-03-15,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,14284,0,0,30,1,2,-1
2024-03-16,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,14296,0,1,38,0,2,-1
2024-03-17,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,3479,0,1,29,1,1,-1
2024-03-18,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,27646,0,1,34,1,0,-1
2024-03-19,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,24289,1,0,27,1,2,-1
2024-03-20,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,5611,1,0,32,0,0,-1
2024-03-21,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,12938,0,1,36,2,1,-1
2024-03-22,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,23116,0,0,36,2,2,-1
2024-03-23,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,25107,0,0,37,1,2,-1
2024-03-24,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,28122,1,0,26,1,1,-1
2024-03-25,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,17281,0,0,34,1,0,-1
2024-03-26,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,21358,1,1,28,2,0,-1
2024-03-27,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,1412,0,1,32,0,2,-1
2024-03-28,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,26251,0,0,34,0,0,-1
2024-03-29,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,18506,0,1,28,2,0,-1
2024-03-30,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,29708,0,0,36,2,1,-1
2024-04-01,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,3914,0,0,33,2,0,-1
2024-04-02,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,21876,0,1,35,0,1,-1
2024-04-03,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,25466,0,1,36,0,0,-1
2024-04-04,DRIVE_0000,ST4000DM000,12000000000000.0,0,0,22330,0,1,34,1,2,-1
2024-04-05,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,22972,0,0,28,0,2,-1
2024-04-06,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,19540,0,1,29,0,2,-1
2024-04-07,DRIVE_0000,ST4000DM000,12000000000000.0,0,1,5729,1,0,29,1,2,-1
2024-04-08,DRIVE_0000,ST4000DM000,12000000000000.0,0,2,7801,0,0,39,2,2,-1
2024-04-09,DRIVE_0000,ST4000DM000,12000000000000.0,0,3,12516,0,1,30,1,0,-1
2024-04-10,DRIVE_0000,ST4000DM000,12000000000000.0,0,4,24322,1,1,34,0,1,-1
2024-01-01,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,18749,1,1,28,0,0,-1
2024-01-02,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,26731,0,0,28,0,0,-1
2024-01-03,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,27790,0,0,35,0,1,-1
2024-01-04,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,12714,1,0,37,2,1,-1
2024-01-05,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,24003,1,1,32,1,1,-1
2024-01-06,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,7530,0,0,37,2,0,-1
2024-01-07,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,24960,1,0,32,2,0,-1
2024-01-08,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,4627,1,0,37,1,1,-1
2024-01-09,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,28860,0,0,35,0,1,-1
2024-01-10,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,14843,0,1,33,2,2,-1
2024-01-11,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,20870,0,0,25,0,1,-1
2024-01-12,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,25504,1,1,35,2,2,-1
2024-01-13,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,10337,1,1,36,1,0,-1
2024-01-14,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,1539,1,1,36,1,1,-1
2024-01-15,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,24486,0,1,25,2,1,-1
2024-01-16,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,28532,0,0,38,0,0,-1
2024-01-17,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,17639,0,1,29,1,2,-1
2024-01-18,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,24802,1,1,37,1,1,-1
2024-01-19,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,28712,0,1,26,0,1,-1
2024-01-20,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,21309,0,0,35,1,2,-1
2024-01-21,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,11344,0,0,27,0,1,-1
2024-01-22,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,13763,0,1,25,2,1,-1
2024-01-23,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,18844,0,0,31,1,2,-1
2024-01-24,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,21562,0,0,25,1,1,-1
2024-01-25,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,13338,1,0,37,1,0,-1
2024-01-26,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,13775,1,1,26,0,0,-1
2024-01-27,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,17633,0,1,26,2,1,-1
2024-01-28,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,9427,0,1,29,0,1,-1
2024-01-29,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,16254,0,0,39,2,2,-1
2024-01-30,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,21914,0,1,31,1,2,-1
2024-02-01,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,9017,1,1,38,1,1,-1
2024-02-02,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,21645,0,0,25,1,0,-1
2024-02-03,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,11320,1,0,29,1,2,-1
2024-02-04,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,20216,1,1,36,0,1,-1
2024-02-05,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,15388,1,0,26,1,1,-1
2024-02-06,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,19290,1,0,39,2,2,-1
2024-02-07,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,12637,0,0,32,2,2,-1
2024-02-08,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,19271,1,1,27,0,2,-1
2024-02-09,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,24161,0,1,27,1,0,-1
2024-02-10,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,4900,0,0,30,1,1,-1
2024-02-11,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,17907,1,0,34,0,0,-1
2024-02-12,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,17282,0,1,33,1,0,-1
2024-02-13,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,11478,0,0,32,0,1,-1
2024-02-14,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,14568,0,1,32,0,0,-1
2024-02-15,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,18022,0,0,32,2,2,-1
2024-02-16,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,17748,1,0,34,1,1,-1
2024-02-17,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,19030,1,0,31,2,2,-1
2024-02-18,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,8673,0,1,30,0,1,-1
2024-02-19,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,13772,0,0,36,0,2,-1
2024-02-20,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,7229,0,0,34,0,2,-1
2024-02-21,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,10795,0,0,34,0,0,-1
2024-02-22,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,7371,0,0,39,1,2,-1
2024-02-23,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,16913,0,1,33,0,2,-1
2024-02-24,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,29090,1,1,32,1,1,-1
2024-02-25,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,26888,0,1,29,0,0,-1
2024-02-26,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,24370,1,1,38,2,1,-1
2024-02-27,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,18447,0,0,29,2,2,-1
2024-02-28,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,9659,1,0,36,1,1,-1
2024-02-29,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,28504,1,0,38,1,1,-1
2024-02-30,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,11954,1,0,32,1,2,-1
2024-03-01,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,10333,0,0,28,0,1,-1
2024-03-02,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,3048,1,0,34,0,2,-1
2024-03-03,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,19410,1,0,27,2,0,-1
2024-03-04,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,23422,1,1,34,1,0,-1
2024-03-05,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,2342,1,0,29,1,0,-1
2024-03-06,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,15231,0,0,30,2,2,-1
2024-03-07,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,13219,1,0,36,0,0,-1
2024-03-08,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,20019,1,0,27,2,0,-1
2024-03-09,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,9007,0,1,35,1,0,-1
2024-03-10,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,22204,0,1,29,1,2,-1
2024-03-11,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,28197,0,0,28,1,1,-1
2024-03-12,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,11535,0,1,32,0,1,-1
2024-03-13,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,5670,0,1,39,0,2,-1
2024-03-14,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,13790,0,0,26,0,2,-1
2024-03-15,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,2970,1,1,30,2,2,-1
2024-03-16,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,23126,0,0,37,1,2,-1
2024-03-17,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,1419,1,1,37,2,2,-1
2024-03-18,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,18334,0,0,25,0,2,-1
2024-03-19,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,14946,1,1,34,1,0,-1
2024-03-20,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,7371,1,1,37,0,2,-1
2024-03-21,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,28804,1,0,39,0,0,-1
2024-03-22,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,17478,1,0,27,1,2,-1
2024-03-23,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,3116,1,1,28,1,2,-1
2024-03-24,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,13999,1,1,31,1,1,-1
2024-03-25,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,8783,1,0,38,1,0,-1
2024-03-26,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,20915,0,0,36,2,2,-1
2024-03-27,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,6959,1,1,39,0,0,-1
2024-03-28,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,23408,0,1,30,2,1,-1
2024-03-29,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,16114,0,1,31,0,1,-1
2024-03-30,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,2645,1,0,28,0,1,-1
2024-04-01,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,7514,0,0,32,1,2,-1
2024-04-02,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,25777,0,0,28,0,0,-1
2024-04-03,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,26150,0,1,28,0,2,-1
2024-04-04,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,9070,1,0,26,1,1,-1
2024-04-05,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,10146,1,0,36,0,2,-1
2024-04-06,DRIVE_0001,ST4000DM000,4000000000000.0,0,2,6299,0,1,30,0,2,-1
2024-04-07,DRIVE_0001,ST4000DM000,4000000000000.0,0,4,29734,1,0,35,0,0,-1
2024-04-08,DRIVE_0001,ST4000DM000,4000000000000.0,0,1,18350,1,1,25,0,0,-1
2024-04-09,DRIVE_0001,ST4000DM000,4000000000000.0,0,3,22566,0,0,37,1,1,-1
2024-04-10,DRIVE_0001,ST4000DM000,4000000000000.0,0,0,27838,0,0,27,0,1,-1
2024-01-01,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,8311,0,0,32,0,1,-1
2024-01-02,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,16534,1,0,26,1,2,-1
2024-01-03,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,12485,1,1,30,0,1,-1
2024-01-04,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,13342,0,1,31,0,0,-1
2024-01-05,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,11093,1,1,26,1,2,-1
2024-01-06,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,20846,0,0,37,2,1,-1
2024-01-07,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,11682,0,0,39,2,2,-1
2024-01-08,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,4300,1,1,27,0,2,-1
2024-01-09,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,8970,0,1,32,2,1,-1
2024-01-10,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,23996,1,1,38,0,1,-1
2024-01-11,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,3198,0,1,29,2,0,-1
2024-01-12,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,21561,1,0,26,2,0,-1
2024-01-13,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,16358,0,0,26,2,1,-1
2024-01-14,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,14221,0,0,38,0,0,-1
2024-01-15,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,12093,1,0,36,2,1,-1
2024-01-16,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,17086,1,1,25,2,1,-1
2024-01-17,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,3599,0,0,26,1,0,-1
2024-01-18,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,18685,0,0,35,0,1,-1
2024-01-19,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,28233,1,1,31,0,0,-1
2024-01-20,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,27665,0,1,28,1,0,-1
2024-01-21,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,24525,1,1,34,0,0,-1
2024-01-22,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,29628,0,0,35,1,1,-1
2024-01-23,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,15060,0,1,33,2,1,-1
2024-01-24,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,3969,0,1,29,0,0,-1
2024-01-25,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,4067,1,1,30,1,1,-1
2024-01-26,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,14081,0,0,37,0,2,-1
2024-01-27,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,25762,0,1,31,2,0,-1
2024-01-28,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,3711,1,1,30,2,2,-1
2024-01-29,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,16507,1,0,27,1,2,-1
2024-01-30,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,25058,1,0,37,0,1,-1
2024-02-01,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,2524,1,0,33,1,1,-1
2024-02-02,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,1060,1,0,35,0,0,-1
2024-02-03,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,29145,0,0,29,2,2,-1
2024-02-04,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,24393,1,0,36,1,1,-1
2024-02-05,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,7960,0,1,37,2,2,-1
2024-02-06,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,25366,1,0,36,2,0,-1
2024-02-07,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,2750,1,0,29,0,0,-1
2024-02-08,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,21377,1,0,33,2,2,-1
2024-02-09,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,9592,1,0,31,1,2,-1
2024-02-10,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,13045,0,1,39,1,2,-1
2024-02-11,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,10018,0,0,31,2,1,-1
2024-02-12,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,20426,1,0,26,1,2,-1
2024-02-13,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,10374,1,0,32,0,1,-1
2024-02-14,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,17514,1,1,29,0,1,-1
2024-02-15,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,13651,1,1,31,2,2,-1
2024-02-16,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,8564,1,0,26,1,0,-1
2024-02-17,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,12713,1,0,31,1,1,-1
2024-02-18,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,10996,1,1,37,1,2,-1
2024-02-19,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,8206,1,1,38,2,2,-1
2024-02-20,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,29989,0,1,29,0,0,-1
2024-02-21,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,5361,0,1,38,2,0,-1
2024-02-22,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,21144,0,0,27,0,0,-1
2024-02-23,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,23851,1,1,26,1,1,-1
2024-02-24,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,25557,0,1,39,0,0,-1
2024-02-25,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,0,11233,0,0,29,0,2,-1
2024-02-26,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,27039,0,0,39,1,2,-1
2024-02-27,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,25262,1,0,28,1,0,-1
2024-02-28,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,3,6429,0,1,29,0,2,-1
2024-02-29,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,29897,0,1,33,1,2,-1
2024-02-30,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,1,15199,0,0,30,1,2,-1
2024-03-01,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,4,20120,0,1,33,2,2,-1
2024-03-02,DRIVE_0002,HGST HMS5C4040,8000000000000.0,0,2,11106,1,1,34,0,0,-1
